id1,id2,r_qg,n_loci_qg,r_lr,pas,n_loci_pas
SB002,JUV009,-0.116007,15,-0.196003,0.1,15
SB002,JUV010,-0.212722,13,-0.389299,0.038462,13
SB002,SB011,0.069082,13,0.109692,0.25,13
SB002,SB012,0.017771,14,0.179913,0.25,14
SB002,AF013,0.08233,13,0.228323,0.25,13
SB002,AF014,-0.029297,15,0.075062,0.216667,15
SB002,AF015,-0.081649,15,-0.149652,0.133333,15
SB002,AF016,0.105671,15,0.177253,0.3,15
SB002,JUV017,0.000842,15,0.14165,0.25,15
SB002,JUV018,-0.039065,15,-0.078186,0.2,15
SB002,JUV019,0.01121,15,-0.047464,0.216667,15
SB002,JUV020,0.037494,15,0.207227,0.283333,15
SB002,SB021,-0.090679,15,-0.069688,0.15,15
SB002,AF022,-0.024046,14,-0.062359,0.160714,14
SB002,AF023,-0.057607,14,0.071052,0.196429,14
SB002,AF024,-0.036419,14,0.072023,0.160714,14
SB002,AF025,-0.046457,15,-0.074467,0.166667,15
SB002,AF026,0.001581,14,0.105354,0.214286,14
SB002,AF027,-0.033448,14,0.021695,0.196429,14
SB002,JUV028,-0.033561,13,-0.06086,0.153846,13
SB002,JUV029,-0.089016,13,-0.18939,0.134615,13
SB002,JUV030,0.078219,14,0.38845,0.303571,14
SB002,JUV031,0.059856,15,0.240344,0.25,15
SB002,JUV032,-0.078606,13,-0.031429,0.153846,13
SB002,SB033,0.076351,13,0.201018,0.25,13
SB002,SB034,0.028054,13,0.150542,0.230769,13
SB002,AF035,-0.08992,15,-0.140897,0.133333,15
SB002,AF036,0.092577,15,0.204149,0.316667,15
SB002,AF037,-0.041827,13,0.085716,0.211538,13
SB002,AF038,-0.051661,14,-0.120353,0.160714,14
SB002,AF039,0.01746,13,0.16479,0.230769,13
SB002,JUV040,0.058726,15,0.237351,0.283333,15
SB002,JUV041,0.033937,14,0.010535,0.232143,14
SB002,SB042,0.094832,15,0.172405,0.3,15
SB002,SB043,-0.064609,13,0.050938,0.192308,13
SB002,SB044,0.09258,15,0.365156,0.3,15
SB002,AF045,0.011652,15,0.17662,0.216667,15
SB002,AF046,0.042926,15,0.158219,0.25,15
SB002,AF047,-0.042054,15,-0.101831,0.166667,15
SB002,AF048,-0.002324,14,0.005705,0.214286,14
SB002,AF049,-0.035362,14,-0.018296,0.178571,14
SB002,AF050,0.105289,13,0.288342,0.307692,13
SB002,JUV051,-0.028814,14,-0.038595,0.178571,14
SB002,JUV052,0.038301,14,0.059737,0.25,14
SB002,JUV053,0.153463,15,0.368476,0.35,15
SB002,JUV054,0.137797,14,0.459026,0.357143,14
SB002,SB055,-0.02825,13,0.152779,0.211538,13
SB002,AF056,-0.046805,15,-0.051622,0.166667,15
SB002,AF057,-0.122493,14,-0.158311,0.107143,14
SB002,AF058,0.021092,14,0.125683,0.232143,14
SB002,AF059,0.007448,14,0.074165,0.232143,14
SB002,AF060,-0.148273,14,-0.214462,0.125,14
SB002,AF061,0.0545,15,0.256293,0.266667,15
SB002,JUV062,-0.066238,14,-0.071254,0.160714,14
SB002,JUV063,-0.138578,14,-0.21022,0.142857,14
SB003,AF004,0.052683,13,0.077626,0.230769,13
SB003,AF005,0.035997,13,0.152071,0.211538,13
SB003,AF006,-0.072705,13,-0.117639,0.134615,13
SB003,AF007,-0.0157,13,0.132118,0.153846,13
SB003,JUV008,-0.074915,12,-0.099547,0.125,12
SB003,JUV009,0.073941,13,0.128429,0.230769,13
SB003,JUV010,0.317279,11,0.542301,0.454545,11
SB003,SB011,-0.10764,11,-0.171036,0.113636,11
SB003,SB012,0.0532,12,0.092046,0.25,12
SB003,AF013,-0.012665,11,-0.033469,0.159091,11
SB003,AF014,-0.00995,13,0.115237,0.230769,13
SB003,AF015,-0.014597,13,-0.049825,0.173077,13
SB003,AF016,0.093476,13,0.212003,0.269231,13
SB003,JUV017,-0.053965,13,0.046943,0.192308,13
SB003,JUV018,0.020654,13,0.271571,0.230769,13
SB003,JUV019,0.004091,13,0.108103,0.192308,13
SB003,JUV020,0.036337,13,0.196659,0.269231,13
SB003,SB021,0.064466,13,0.092144,0.25,13
SB003,AF022,0.016682,12,-0.009808,0.166667,12
SB003,AF023,-0.011315,12,0.059569,0.1875,12
SB003,AF024,0.01249,12,0.012885,0.166667,12
SB003,AF025,0.018427,13,0.049994,0.192308,13
SB003,AF026,-0.037724,12,0.015624,0.166667,12
SB003,AF027,-0.018355,12,-0.02615,0.1875,12
SB003,JUV028,-0.137418,11,-0.306859,0.045455,11
SB003,JUV029,-0.042788,11,-0.151558,0.136364,11
SB003,JUV030,-0.062933,12,-0.12009,0.166667,12
SB003,JUV031,0.021749,13,0.030529,0.192308,13
SB003,JUV032,0.058299,11,0.152804,0.25,11
SB003,SB033,-0.021016,12,-0.053998,0.145833,12
SB003,SB034,-0.077445,11,-0.152144,0.113636,11
SB003,AF035,-0.082303,13,-0.130703,0.115385,13
SB003,AF036,0.050897,13,0.239708,0.269231,13
SB003,AF037,-0.099963,11,-0.184712,0.136364,11
SB003,AF038,-0.101882,12,-0.177741,0.104167,12
SB003,AF039,-0.072698,11,-0.228236,0.159091,11
SB003,JUV040,-0.071061,13,-0.116663,0.153846,13
SB003,JUV041,-0.07698,12,-0.11779,0.104167,12
SB003,SB042,0.058987,13,0.141382,0.25,13
SB003,SB043,-0.01186,11,0.131585,0.204545,11
SB003,SB044,-0.048929,13,-0.088144,0.153846,13
SB003,AF045,-0.102872,13,-0.241447,0.096154,13
SB003,AF046,-0.046061,13,-0.049822,0.153846,13
SB003,AF047,-0.039525,13,-0.160959,0.134615,13
SB003,AF048,-0.000374,12,0.020731,0.1875,12
SB003,AF049,-0.012729,12,-0.044972,0.166667,12
SB003,AF050,0.109684,11,0.090048,0.272727,11
SB003,JUV051,0.167307,12,0.252722,0.3125,12
SB003,JUV052,-0.013994,12,-0.007866,0.1875,12
SB003,JUV053,-0.120596,13,-0.202476,0.115385,13
SB003,JUV054,-0.086053,12,-0.142933,0.145833,12
SB003,SB055,0.081129,11,0.117249,0.272727,11
SB003,AF056,-0.060141,13,-0.123685,0.134615,13
SB003,AF057,-0.051893,12,-0.126738,0.125,12
SB003,AF058,-0.049969,12,-0.088927,0.125,12
SB003,AF059,-0.003198,12,0.143516,0.208333,12
SB003,AF060,0.116087,12,0.315005,0.3125,12
SB003,AF061,-0.04059,13,-0.05554,0.173077,13
SB003,JUV062,0.016806,12,0.004801,0.166667,12
SB003,JUV063,0.040078,12,0.188761,0.25,12
AF004,AF005,0.084511,15,0.117731,0.233333,15
AF004,AF006,0.059569,15,0.12694,0.233333,15
AF004,AF007,-0.020229,15,-0.02175,0.133333,15
AF004,JUV008,-0.108558,14,-0.163309,0.089286,14
AF004,JUV009,0.291871,15,0.504369,0.4,15
AF004,JUV010,-0.021765,13,-0.035875,0.173077,13
AF004,SB011,0.054125,13,0.131428,0.230769,13
AF004,SB012,0.011627,14,0.055785,0.196429,14
AF004,AF013,-0.064861,13,-0.116091,0.115385,13
AF004,AF014,-0.00571,15,-0.006911,0.2,15
AF004,AF015,0.023425,15,0.073636,0.183333,15
AF004,AF016,-0.017008,15,-0.066635,0.166667,15
AF004,JUV017,0.023926,15,-0.00738,0.233333,15
AF004,JUV018,0.00523,15,0.031073,0.2,15
AF004,JUV019,0.114772,15,0.229591,0.266667,15
AF004,JUV020,-0.002937,15,-0.05892,0.216667,15
AF004,SB021,0.077551,15,0.144255,0.25,15
AF004,AF022,0.082605,14,0.172597,0.214286,14
AF004,AF023,0.074279,14,0.106099,0.25,14
AF004,AF024,-0.114293,14,-0.216932,0.053571,14
AF004,AF025,-0.043266,15,-0.069718,0.133333,15
AF004,AF026,-0.02113,14,-0.090416,0.160714,14
AF004,AF027,-0.011847,14,0.000267,0.178571,14
AF004,JUV028,0.065063,13,0.126814,0.211538,13
AF004,JUV029,0.040307,13,0.125255,0.192308,13
AF004,JUV030,-0.160601,14,-0.329813,0.071429,14
AF004,JUV031,-0.060824,15,-0.024287,0.116667,15
AF004,JUV032,-0.014028,13,0.030145,0.192308,13
AF004,SB033,-0.0171,13,-0.114301,0.153846,13
AF004,SB034,-0.157302,13,-0.355578,0.038462,13
AF004,AF035,-0.024873,15,0.037465,0.15,15
AF004,AF036,-0.03197,15,-0.037932,0.183333,15
AF004,AF037,0.04128,13,0.101609,0.230769,13
AF004,AF038,0.102831,14,0.287259,0.25,14
AF004,AF039,0.007218,13,0.050124,0.192308,13
AF004,JUV040,0.018269,15,0.022895,0.216667,15
AF004,JUV041,0.04897,14,0.119938,0.196429,14
AF004,SB042,-0.069364,15,-0.040869,0.133333,15
AF004,SB043,0.015704,13,0.035595,0.211538,13
AF004,SB044,-0.11289,15,-0.258139,0.1,15
AF004,AF045,-0.067718,15,-0.176313,0.116667,15
AF004,AF046,0.003319,15,-0.043488,0.183333,15
AF004,AF047,0.001515,15,0.055651,0.166667,15
AF004,AF048,0.005018,14,-0.018377,0.178571,14
AF004,AF049,0.059665,14,0.145101,0.214286,14
AF004,AF050,-0.103076,13,-0.17489,0.096154,13
AF004,JUV051,-0.069922,14,-0.113618,0.107143,14
AF004,JUV052,-0.099531,14,-0.158022,0.107143,14
AF004,JUV053,-0.094744,15,-0.119845,0.116667,15
AF004,JUV054,-0.148288,14,-0.27763,0.089286,14
AF004,SB055,-0.077804,13,-0.184807,0.134615,13
AF004,AF056,-0.043607,15,-0.041478,0.133333,15
AF004,AF057,-0.025277,14,-0.097767,0.142857,14
AF004,AF058,0.004705,14,-0.051513,0.178571,14
AF004,AF059,0.072317,14,0.198032,0.25,14
AF004,AF060,-0.048333,14,-0.080217,0.160714,14
AF004,AF061,-0.047111,15,-0.074336,0.15,15
AF004,JUV062,-0.022529,14,-0.057334,0.142857,14
AF004,JUV063,-0.039738,14,-0.030611,0.178571,14
AF005,AF006,-0.02962,15,-0.10363,0.15,15
AF005,AF007,-0.02735,15,-0.109163,0.116667,15
AF005,JUV008,0.171047,14,0.383525,0.303571,14
AF005,JUV009,0.162533,15,0.257879,0.283333,15
AF005,JUV010,0.020139,13,0.030648,0.192308,13
AF005,SB011,0.069752,13,0.05471,0.230769,13
AF005,SB012,-0.014993,14,-0.020106,0.178571,14
AF005,AF013,0.023135,13,0.061751,0.173077,13
AF005,AF014,0.028044,15,0.015298,0.216667,15
AF005,AF015,-0.024222,15,-0.124296,0.133333,15
AF005,AF016,0.056899,15,0.150653,0.216667,15
AF005,JUV017,0.036969,15,0.013174,0.233333,15
AF005,JUV018,0.141184,15,0.356368,0.3,15
AF005,JUV019,-0.034688,15,-0.052685,0.133333,15
AF005,JUV020,0.093538,15,0.168421,0.283333,15
AF005,SB021,0.008509,15,0.014362,0.183333,15
AF005,AF022,-0.050035,14,-0.142033,0.089286,14
AF005,AF023,0.063428,14,0.101364,0.232143,14
AF005,AF024,-0.061788,14,-0.070886,0.089286,14
AF005,AF025,0.010132,15,-0.040248,0.166667,15
AF005,AF026,-0.016003,14,-0.069752,0.160714,14
AF005,AF027,-0.016243,14,-0.002631,0.160714,14
AF005,JUV028,-0.043971,13,-0.009676,0.115385,13
AF005,JUV029,-0.029104,13,-0.088153,0.134615,13
AF005,JUV030,-0.106199,14,-0.257601,0.107143,14
AF005,JUV031,-0.108007,15,-0.228335,0.066667,15
AF005,JUV032,-0.019734,13,0.077274,0.173077,13
AF005,SB033,-0.05139,13,-0.143895,0.115385,13
AF005,SB034,-0.059864,13,-0.177815,0.096154,13
AF005,AF035,0.068798,15,0.091567,0.216667,15
AF005,AF036,-0.039291,15,-0.037451,0.166667,15
AF005,AF037,-0.125485,13,-0.279571,0.096154,13
AF005,AF038,-0.051127,14,-0.043029,0.107143,14
AF005,AF039,0.003088,13,0.013251,0.173077,13
AF005,JUV040,-0.051055,15,-0.088862,0.15,15
AF005,JUV041,0.001319,14,0.041659,0.160714,14
AF005,SB042,0.046119,15,0.070049,0.216667,15
AF005,SB043,-0.039441,13,-0.151996,0.153846,13
AF005,SB044,-0.180922,15,-0.343905,0.033333,15
AF005,AF045,0.04652,15,-0.033044,0.2,15
AF005,AF046,-0.14617,15,-0.246403,0.05,15
AF005,AF047,-0.046031,15,-0.085517,0.116667,15
AF005,AF048,-0.072644,14,-0.100763,0.107143,14
AF005,AF049,-0.104272,14,-0.186934,0.071429,14
AF005,AF050,-0.018829,13,-0.004913,0.153846,13
AF005,JUV051,0.011727,14,0.029534,0.160714,14
AF005,JUV052,-0.101357,14,-0.248924,0.089286,14
AF005,JUV053,0.021172,15,0.040121,0.2,15
AF005,JUV054,-0.115894,14,-0.246843,0.107143,14
AF005,SB055,-0.075743,13,-0.163489,0.115385,13
AF005,AF056,0.009803,15,0.047763,0.166667,15
AF005,AF057,-0.015906,14,-0.008296,0.142857,14
AF005,AF058,0.003996,14,-0.0851,0.160714,14
AF005,AF059,0.132803,14,0.262631,0.285714,14
AF005,AF060,0.005526,14,0.041312,0.196429,14
AF005,AF061,-0.095023,15,-0.160715,0.1,15
AF005,JUV062,0.01022,14,-0.031981,0.160714,14
AF005,JUV063,-0.017915,14,-0.008728,0.178571,14
AF006,AF007,-0.033194,15,-0.092865,0.133333,15
AF006,JUV008,0.074157,14,0.153382,0.25,14
AF006,JUV009,-0.043752,15,-0.157553,0.133333,15
AF006,JUV010,-0.107673,13,-0.140308,0.115385,13
AF006,SB011,-0.115379,13,-0.277846,0.076923,13
AF006,SB012,-0.024512,14,0.064389,0.178571,14
AF006,AF013,0.111979,13,0.269276,0.25,13
AF006,AF014,0.147967,15,0.375155,0.333333,15
AF006,AF015,-0.009712,15,-0.087055,0.166667,15
AF006,AF016,-0.009625,15,0.035378,0.183333,15
AF006,JUV017,0.052738,15,0.195751,0.266667,15
AF006,JUV018,0.199628,15,0.269357,0.366667,15
AF006,JUV019,-0.102077,15,-0.197176,0.1,15
AF006,JUV020,0.089,15,0.322662,0.3,15
AF006,SB021,-0.203401,15,-0.372037,0.033333,15
AF006,AF022,0.075656,14,0.079165,0.214286,14
AF006,AF023,0.151781,14,0.303357,0.339286,14
AF006,AF024,-0.044342,14,-0.164233,0.125,14
AF006,AF025,-0.097353,15,-0.182972,0.1,15
AF006,AF026,-0.070846,14,0.03129,0.142857,14
AF006,AF027,-0.019338,14,0.020554,0.178571,14
AF006,JUV028,-0.022775,13,-0.052955,0.153846,13
AF006,JUV029,-0.153637,13,-0.287487,0.038462,13
AF006,JUV030,-0.066314,14,0.060422,0.160714,14
AF006,JUV031,-0.013016,15,-0.102964,0.166667,15
AF006,JUV032,-0.117923,13,-0.191785,0.115385,13
AF006,SB033,-0.049401,13,-0.121372,0.134615,13
AF006,SB034,0.092032,13,0.245877,0.25,13
AF006,AF035,0.064146,15,0.160491,0.233333,15
AF006,AF036,-0.108269,15,-0.034474,0.133333,15
AF006,AF037,0.082713,13,0.297926,0.269231,13
AF006,AF038,0.222576,14,0.36698,0.357143,14
AF006,AF039,0.048045,13,0.239399,0.230769,13
AF006,JUV040,0.130167,15,0.402405,0.316667,15
AF006,JUV041,0.013779,14,-0.05038,0.178571,14
AF006,SB042,-0.020928,15,0.062575,0.183333,15
AF006,SB043,-0.072071,13,0.032008,0.153846,13
AF006,SB044,0.018121,15,0.13934,0.216667,15
AF006,AF045,0.041571,15,0.278581,0.216667,15
AF006,AF046,-0.009725,15,-0.080497,0.183333,15
AF006,AF047,-0.052166,15,-0.0849,0.133333,15
AF006,AF048,-0.033024,14,-0.08511,0.160714,14
AF006,AF049,0.022279,14,-0.065722,0.196429,14
AF006,AF050,-0.14773,13,-0.205489,0.076923,13
AF006,JUV051,-0.086575,14,-0.098395,0.107143,14
AF006,JUV052,-0.106024,14,-0.180054,0.107143,14
AF006,JUV053,0.03654,15,0.165093,0.233333,15
AF006,JUV054,0.081467,14,0.254923,0.285714,14
AF006,SB055,-0.131983,13,-0.253834,0.096154,13
AF006,AF056,0.004385,15,0.092269,0.183333,15
AF006,AF057,0.002298,14,0.099217,0.178571,14
AF006,AF058,-0.119894,14,-0.155562,0.089286,14
AF006,AF059,-0.089798,14,-0.17938,0.125,14
AF006,AF060,0.002053,14,0.054935,0.214286,14
AF006,AF061,0.063402,15,0.262071,0.25,15
AF006,JUV062,-0.14553,14,-0.342345,0.071429,14
AF006,JUV063,-0.077547,14,-0.098462,0.160714,14
AF007,JUV008,-0.116953,14,-0.279682,0.053571,14
AF007,JUV009,0.038278,15,0.008849,0.166667,15
AF007,JUV010,0.180988,13,0.35334,0.307692,13
AF007,SB011,0.029514,13,0.040769,0.173077,13
AF007,SB012,0.044736,14,0.029247,0.214286,14
AF007,AF013,-0.141776,13,-0.323345,0.019231,13
AF007,AF014,0.023968,15,0.193449,0.2,15
AF007,AF015,-0.06765,15,-0.145565,0.083333,15
AF007,AF016,0.032514,15,0.02125,0.183333,15
AF007,JUV017,0.073958,15,0.187446,0.25,15
AF007,JUV018,-0.026409,15,0.054655,0.15,15
AF007,JUV019,0.041951,15,0.207409,0.183333,15
AF007,JUV020,0.026986,15,0.149583,0.216667,15
AF007,SB021,-0.035806,15,-0.059808,0.133333,15
AF007,AF022,-0.08584,14,-0.27871,0.053571,14
AF007,AF023,-0.076856,14,-0.174746,0.089286,14
AF007,AF024,-0.091073,14,-0.263042,0.053571,14
AF007,AF025,-0.053691,15,-0.05835,0.1,15
AF007,AF026,-8.2e-05,14,-0.041964,0.160714,14
AF007,AF027,0.012142,14,-0.016348,0.178571,14
AF007,JUV028,0.00535,13,-0.112117,0.134615,13
AF007,JUV029,-0.072998,13,-0.233526,0.076923,13
AF007,JUV030,-0.048345,14,-0.110568,0.142857,14
AF007,JUV031,0.08873,15,0.006856,0.216667,15
AF007,JUV032,-0.119811,13,-0.305731,0.057692,13
AF007,SB033,-0.06847,13,-0.1877,0.076923,13
AF007,SB034,0.022379,13,-0.040185,0.173077,13
AF007,AF035,0.144511,15,0.157471,0.266667,15
AF007,AF036,0.018667,15,0.132814,0.2,15
AF007,AF037,0.043354,13,0.03081,0.211538,13
AF007,AF038,-0.021184,14,-0.102738,0.125,14
AF007,AF039,-0.064172,13,-0.149801,0.115385,13
AF007,JUV040,-0.054506,15,-0.122466,0.133333,15
AF007,JUV041,-0.0475,14,-0.095222,0.107143,14
AF007,SB042,-0.099822,15,-0.184091,0.083333,15
AF007,SB043,0.130785,13,0.312856,0.288462,13
AF007,SB044,-0.081945,15,-0.210158,0.1,15
AF007,AF045,0.022339,15,-0.060253,0.166667,15
AF007,AF046,0.032419,15,0.01117,0.183333,15
AF007,AF047,0.010419,15,-0.046309,0.15,15
AF007,AF048,0.048862,14,-0.056758,0.196429,14
AF007,AF049,0.059703,14,0.067693,0.196429,14
AF007,AF050,-0.043801,13,-0.065363,0.134615,13
AF007,JUV051,-0.049607,14,-0.103764,0.107143,14
AF007,JUV052,0.011383,14,0.037752,0.160714,14
AF007,JUV053,-0.003123,15,-0.076233,0.166667,15
AF007,JUV054,-0.013564,14,-0.094859,0.178571,14
AF007,SB055,0.063066,13,0.085482,0.230769,13
AF007,AF056,-0.034035,15,-0.109373,0.116667,15
AF007,AF057,-0.024305,14,-0.110781,0.125,14
AF007,AF058,-0.145778,14,-0.332504,0.035714,14
AF007,AF059,0.0082,14,0.176083,0.178571,14
AF007,AF060,-0.047103,14,0.046496,0.142857,14
AF007,AF061,-0.017156,15,-0.061527,0.15,15
AF007,JUV062,-0.000151,14,-0.042093,0.125,14
AF007,JUV063,0.115951,14,0.332298,0.285714,14
JUV008,JUV009,-0.019826,14,0.059055,0.142857,14
JUV008,JUV010,-0.057515,12,-0.101374,0.125,12
JUV008,SB011,-0.08093,12,-0.223556,0.104167,12
JUV008,SB012,0.026647,13,0.099133,0.230769,13
JUV008,AF013,0.106031,12,0.108695,0.25,12
JUV008,AF014,-0.069603,14,-0.131106,0.160714,14
JUV008,AF015,-0.069877,14,-0.192261,0.107143,14
JUV008,AF016,0.056979,14,0.132202,0.232143,14
JUV008,JUV017,-0.073674,14,-0.082484,0.160714,14
JUV008,JUV018,0.034473,14,0.087947,0.232143,14
JUV008,JUV019,-0.145344,14,-0.266549,0.053571,14
JUV008,JUV020,0.00971,14,0.017388,0.232143,14
JUV008,SB021,-0.126669,14,-0.225646,0.089286,14
JUV008,AF022,-0.053117,13,-0.117032,0.096154,13
JUV008,AF023,-0.092794,13,-0.128646,0.134615,13
JUV008,AF024,-0.02498,13,-0.000645,0.134615,13
JUV008,AF025,-0.03186,14,-0.011963,0.142857,14
JUV008,AF026,0.016879,13,-0.017144,0.192308,13
JUV008,AF027,0.05606,13,0.188673,0.230769,13
JUV008,JUV028,-0.050077,12,-0.05357,0.125,12
JUV008,JUV029,-0.089362,12,-0.162046,0.104167,12
JUV008,JUV030,0.099506,13,0.190841,0.288462,13
JUV008,JUV031,0.01131,14,-0.06819,0.178571,14
JUV008,JUV032,-0.106834,12,-0.131585,0.104167,12
JUV008,SB033,-0.047914,12,-0.119603,0.125,12
JUV008,SB034,0.021965,12,0.033652,0.1875,12
JUV008,AF035,0.031061,14,0.129482,0.196429,14
JUV008,AF036,0.028104,14,0.025049,0.232143,14
JUV008,AF037,-0.13612,12,-0.21224,0.104167,12
JUV008,AF038,-0.052304,13,-0.077322,0.115385,13
JUV008,AF039,0.113963,12,0.11816,0.270833,12
JUV008,JUV040,-0.033681,14,0.05976,0.178571,14
JUV008,JUV041,-0.02323,13,0.009231,0.153846,13
JUV008,SB042,0.138687,14,0.273045,0.303571,14
JUV008,SB043,0.001569,12,-0.12003,0.208333,12
JUV008,SB044,-0.040191,14,-0.125662,0.160714,14
JUV008,AF045,0.048502,14,0.167141,0.214286,14
JUV008,AF046,-0.073479,14,-0.202495,0.125,14
JUV008,AF047,-0.070665,14,-0.166565,0.107143,14
JUV008,AF048,-0.053548,13,-0.094919,0.134615,13
JUV008,AF049,-0.093526,13,-0.136576,0.096154,13
JUV008,AF050,0.127215,12,0.071391,0.291667,12
JUV008,JUV051,0.079734,13,0.112039,0.230769,13
JUV008,JUV052,0.014645,13,-0.038671,0.192308,13
JUV008,JUV053,0.13208,14,0.198427,0.303571,14
JUV008,JUV054,0.085558,13,0.184148,0.288462,13
JUV008,SB055,-0.099809,12,-0.223749,0.104167,12
JUV008,AF056,-0.054332,14,-0.014552,0.125,14
JUV008,AF057,-0.025903,13,0.082908,0.153846,13
JUV008,AF058,-0.023654,13,-0.025861,0.153846,13
JUV008,AF059,-0.115818,13,-0.201952,0.096154,13
JUV008,AF060,-0.067454,13,-0.118352,0.153846,13
JUV008,AF061,0.070171,14,0.187335,0.25,14
JUV008,JUV062,-0.122266,13,-0.269003,0.076923,13
JUV008,JUV063,-0.075499,13,-0.154455,0.153846,13
JUV009,JUV010,0.043936,13,0.089271,0.211538,13
JUV009,SB011,0.05807,13,0.197282,0.211538,13
JUV009,SB012,-0.00079,14,0.002331,0.178571,14
JUV009,AF013,-0.06367,13,-0.143552,0.096154,13
JUV009,AF014,-0.068633,15,-0.181946,0.133333,15
JUV009,AF015,0.001877,15,-0.129302,0.15,15
JUV009,AF016,0.002077,15,-0.0806,0.166667,15
JUV009,JUV017,0.001691,15,-0.030954,0.2,15
JUV009,JUV018,0.00386,15,0.002999,0.183333,15
JUV009,JUV019,0.072124,15,0.10881,0.216667,15
JUV009,JUV020,0.016494,15,-0.03673,0.216667,15
JUV009,SB021,0.055201,15,0.11216,0.216667,15
JUV009,AF022,0.02914,14,0.011305,0.160714,14
JUV009,AF023,-0.017632,14,-0.111286,0.160714,14
JUV009,AF024,-0.091133,14,-0.199296,0.053571,14
JUV009,AF025,-0.003977,15,-0.105997,0.15,15
JUV009,AF026,0.035706,14,0.065164,0.196429,14
JUV009,AF027,-0.022412,14,-0.057236,0.160714,14
JUV009,JUV028,-0.007566,13,-0.012017,0.134615,13
JUV009,JUV029,0.098953,13,0.148781,0.230769,13
JUV009,JUV030,-0.070369,14,-0.203769,0.125,14
